zip,lat,lng,city,state
501,40.8133,-73.0476,Holtsville,NY
544,40.8133,-73.0476,Holtsville,NY
601,18.18,-66.7522,Adjuntas,PR
602,18.3607,-67.1752,Aguada,PR
603,18.4566,-67.1226,Aguadilla,PR
604,18.4397,-67.1549,Aguadilla,PR
605,18.4397,-67.1549,Aguadilla,PR
606,18.1672,-66.9383,Maricao,PR
610,18.2903,-67.1224,Anasco,PR
611,18.2845,-66.8024,Angeles,PR
612,18.3928,-66.7229,Arecibo,PR
613,18.4567,-66.7359,Arecibo,PR
614,18.4567,-66.7359,Arecibo,PR
616,18.4175,-66.6681,Bajadero,PR
617,18.4412,-66.5592,Barceloneta,PR
622,17.9917,-67.1525,Boqueron,PR
623,18.0835,-67.1542,Cabo Rojo,PR
624,18.0646,-66.7182,Penuelas,PR
627,18.419,-66.8603,Camuy,PR
631,18.1856,-66.8333,Castaner,PR
636,18.1581,-67.0681,Rosario,PR
637,18.0798,-66.9427,Sabana Grande,PR
638,18.289,-66.5151,Ciales,PR
641,18.2641,-66.7138,Utuado,PR
646,18.434,-66.2833,Dorado,PR
647,17.9661,-66.9438,Ensenada,PR
650,18.3432,-66.586,Florida,PR
652,18.4554,-66.6063,Garrochales,PR
653,17.9857,-66.8903,Guanica,PR
656,18.0528,-66.7918,Guayanilla,PR
659,18.4107,-66.7965,Hatillo,PR
660,18.1342,-67.114,Hormigueros,PR
662,18.4621,-67.0144,Isabela,PR
664,18.2115,-66.5889,Jayuya,PR
667,18.0124,-67.041,Lajas,PR
669,18.271,-66.8698,Lares,PR
670,18.2378,-66.9887,Las Marias,PR
674,18.4212,-66.49,Manati,PR
676,18.3779,-67.0808,Moca,PR
677,18.3357,-67.2317,Rincon,PR
678,18.4327,-66.9281,Quebradillas,PR
680,18.2011,-67.0913,Mayaguez,PR
681,18.2036,-67.1434,Mayaguez,PR
682,18.2211,-67.1538,Mayaguez,PR
683,18.11,-67.0373,San German,PR
685,18.3362,-66.9722,San Sebastian,PR
687,18.3171,-66.4203,Morovis,PR
688,18.3806,-66.6242,Sabana Hoyos,PR
690,18.4957,-67.0982,San Antonio,PR
692,18.4084,-66.3369,Vega Alta,PR
693,18.4213,-66.4001,Vega Baja,PR
694,18.4833,-66.3926,Vega Baja,PR
698,18.0673,-66.8527,Yauco,PR
703,18.2484,-66.1312,Aguas Buenas,PR
704,17.9672,-66.2202,Aguirre,PR
705,18.1295,-66.2648,Aibonito,PR
707,18.0181,-65.922,Maunabo,PR
714,17.9985,-66.0561,Arroyo,PR
715,18.0117,-66.5599,Mercedita,PR
716,17.9994,-66.6001,Ponce,PR
717,18.0034,-66.6132,Ponce,PR
718,18.2333,-65.7611,Naguabo,PR
719,18.2888,-66.2534,Naranjito,PR
720,18.2177,-66.4282,Orocovis,PR
721,18.3747,-65.7775,Palmer,PR
723,18.0324,-66.0123,Patillas,PR
725,18.2185,-66.0428,Caguas,PR
726,18.2343,-66.0394,Caguas,PR
727,18.215,-66.0736,Caguas,PR
728,18.0063,-66.6612,Ponce,PR
729,18.3311,-65.8872,Canovanas,PR
730,18.0309,-66.6166,Ponce,PR
731,18.0978,-66.6336,Ponce,PR
732,17.9871,-66.6091,Ponce,PR
733,17.9871,-66.6091,Ponce,PR
734,17.9871,-66.6091,Ponce,PR
735,18.2537,-65.6831,Ceiba,PR
736,18.1065,-66.1526,Cayey,PR
737,18.1164,-66.1627,Cayey,PR
738,18.3172,-65.6696,Fajardo,PR
