post_code,category_labels,address,name,website,tel,factual_id,longitude,latitude,chain_name,locality,region,country
19040,"Retail, Convenience Stores",317 W County Line Rd,7-Eleven,http://www.7-eleven.com/,(215) 674-5299,a32b8152-6eb8-463f-8ba7-9ba588639903,-75.119031,40.199021,7-Eleven,Hatboro,PA,us
33838,"Retail, Convenience Stores",28200 Hwy 27,7-Eleven,http://www.7-eleven.com/,(863) 439-4945,6f4f4aea-c963-449b-80ea-caa4af054360,-81.633198,28.018299,7-Eleven,Dundee,FL,us
32810,"Retail, Convenience Stores",5570 N Orange Blossom Trl,7-Eleven,http://www.7-eleven.com/,(407) 298-8460,012a17e3-6a23-4161-88d7-064a4ad6ab39,-81.426786,28.608341,7-Eleven,Orlando,FL,us
34653,"Retail, Convenience Stores",7320 State Road 54,7-Eleven,http://www.7-eleven.com/,(727) 372-5021,07219974-e033-4922-a6d5-dd5a71838d93,-82.693217,28.216364,7-Eleven,New Port Richey,FL,us
33764,"Retail, Convenience Stores",20073 US Highway 19 N,7-Eleven,http://www.7-eleven.com/,(727) 791-6321,098ab94a-63fe-4689-9e13-9b3d1bbfbbff,-82.729155,27.954844,7-Eleven,Clearwater,FL,us
89015,"Retail, Convenience Stores",84 W Pacific Ave,7-Eleven,http://www.7-eleven.com/,(702) 564-2823,152c8db7-9680-4101-b52a-00074043caf3,-114.986957,36.031984,7-Eleven,Henderson,NV,us
32920,"Retail, Convenience Stores",6770 N Atlantic Ave,7-Eleven,http://www.7-eleven.com/,(321) 784-6050,210fc41b-1037-4eee-9212-ef0931d47950,-80.605066,28.378653,7-Eleven,Cape Canaveral,FL,us
1821,"Retail, Convenience Stores",826 Boston Rd,7-Eleven,http://www.7-eleven.com/,(978) 667-8756,39c976bc-23d9-4319-a828-c97508e335ba,-71.228972,42.531536,7-Eleven,Billerica,MA,us
24503,"Retail, Convenience Stores",2311 Bedford Ave,7-Eleven,http://www.7-eleven.com/,(434) 845-8657,35ecebfe-43a6-4f1e-9c5a-148627fe7340,-79.168061,37.434676,7-Eleven,Lynchburg,VA,us
20170,"Retail, Convenience Stores",13190 Parcher Ave,7-Eleven,http://www.7-eleven.com/,(703) 689-3602,02a8c6d4-b92a-4482-bf82-72ff0bac0134,-77.402777,38.960335,7-Eleven,Herndon,VA,us
25177,"Retail, Convenience Stores",301 W Main St,7-Eleven,http://www.7-eleven.com/,(304) 727-1280,15328b99-0339-481c-a9cf-5f51a2779179,-81.846583,38.389528,7-Eleven,Saint Albans,WV,us
7463,"Retail, Convenience Stores",220 Wyckoff Ave,7-Eleven,http://www.7-eleven.com/,(201) 444-6494,18c5a742-6d03-4b99-b1ee-9be9a9834072,-74.139018,41.011779,7-Eleven,Waldwick,NJ,us
32792,"Retail, Convenience Stores",6305 University Blvd,7-Eleven,http://www.7-eleven.com/,(407) 678-7118,1f3eacc2-6d36-4e41-893c-6a396e65880e,-81.298517,28.598177,7-Eleven,Winter Park,FL,us
21236,"Retail, Convenience Stores",8002 Belair Rd,7-Eleven,http://www.7-eleven.com/,(410) 661-2555,411e30cd-17d4-44d5-9145-19738ff26560,-76.50814,39.375393,7-Eleven,Baltimore,MD,us
23451,"Retail, Convenience Stores",2256 Red Tide Rd,7-Eleven,http://www.7-eleven.com/,(757) 496-0947,1740ff3a-db10-4d1f-ba90-63ef9a6d6d03,-76.073122,36.910554,7-Eleven,Virginia Beach,VA,us
94523,"Retail, Convenience Stores",2396 Pleasant Hill Rd,7-Eleven,http://www.7-eleven.com/,(925) 934-1550,1d3c86b8-b3b6-4866-a685-4fbc1760a09c,-122.082025,37.947512,7-Eleven,Pleasant Hill,CA,us
85023,"Retail, Convenience Stores",2424 W Greenway Rd,7-Eleven,http://www.7-eleven.com/,(602) 993-1980,959dfe83-fb0e-4878-8d5c-f302a7607579,-112.112694,33.625704,7-Eleven,Phoenix,AZ,us
98512,"Retail, Convenience Stores",1022 Crosby Blvd SW,7-Eleven,http://www.7-eleven.com/,(360) 570-0079,3d82b7e0-ee83-452d-ae9a-de22ca87f68d,-122.922204,47.023804,7-Eleven,Tumwater,WA,us
7090,"Retail, Convenience Stores",1200 South Ave W,7-Eleven,http://www.7-eleven.com/,(908) 232-1336,6ec5d22b-2933-4983-816a-32d3cad88c7d,-74.364542,40.646657,7-Eleven,Westfield,NJ,us
23116,"Retail, Convenience Stores",8316 Meadowbridge Rd,7-Eleven,http://www.7-eleven.com/,(804) 730-5596,0ab7ed95-3e80-4349-b5df-be16df2b3363,-77.390346,37.624113,7-Eleven,Mechanicsville,VA,us
22201,"Retail, Convenience Stores",2525 Lee Hwy,7-Eleven,http://www.7-eleven.com/,(703) 243-4733,1226859e-3378-4ba8-a963-5226913877e1,-77.107341,38.89717,7-Eleven,Arlington,VA,us
19145,"Retail, Convenience Stores",2300 S Broad St,7-Eleven,http://www.7-eleven.com/,(215) 389-1157,03f614cd-542d-4d2b-9a59-495a76525367,-75.170533,39.921817,7-Eleven,Philadelphia,PA,us
80112,"Retail, Convenience Stores",6802 S Yosemite St,7-Eleven,http://www.7-eleven.com/,(303) 741-1784,32ed4b99-d94e-43cd-b4f1-1988123a906f,-104.887624,39.592868,7-Eleven,Centennial,CO,us
19122,"Retail, Convenience Stores",1912 Liacouras Walk,7-Eleven,http://www.7-eleven.com/,(215) 204-7799,54228e0d-4a84-4093-8cc7-34319f866025,-75.156054,39.982519,7-Eleven,Philadelphia,PA,us
32119,"Retail, Convenience Stores",1999 S Nova Rd,7-Eleven,http://www.7-eleven.com/,(386) 760-6455,8c8d584b-e70d-487f-9014-ae968616d3e9,-81.022988,29.167006,7-Eleven,South Daytona,FL,us
21401,"Retail, Convenience Stores",710 Bestgate Rd,7-Eleven,http://www.7-eleven.com/,(410) 266-0011,195ed8c2-53c9-4bef-aae4-6fbfa11e532a,-76.528974,38.996334,7-Eleven,Annapolis,MD,us
23111,"Retail, Convenience Stores",6689 Cold Harbor Rd,7-Eleven,http://www.7-eleven.com/,(804) 746-5718,17c2c0b3-9f0e-4da7-8678-eb6994081996,-77.318052,37.590327,7-Eleven,Mechanicsville,VA,us
19149,"Retail, Convenience Stores",6800 Bustleton Ave,7-Eleven,http://www.7-eleven.com/,(267) 538-2767,2787d503-d360-4e7a-87bb-087d90b705c3,-75.065638,40.040919,7-Eleven,Philadelphia,PA,us
7733,"Retail, Convenience Stores",2145 State Route 35,7-Eleven,http://www.7-eleven.com/,(732) 264-3105,d3b1db7d-396c-4359-adb1-415215a41947,-74.159696,40.415429,7-Eleven,Holmdel,NJ,us
