locality,longitude,latitude,tel,category_labels,region,name,post_code,factual_id,website,address,chain_name,country
Hamilton,-84.508818,39.390329,(513) 893-1877,"Businesses and Services, Shipping, Freight, and Material Transportation",OH,The UPS Store,45011,864e1943-5bf2-49a1-ad31-950a7654089d,http://www.theupsstore.com,3189 Princeton Rd,The UPS Store,us
Saint Paul,-93.1443,44.940451,(651) 222-2019,"Businesses and Services, Shipping, Freight, and Material Transportation",MN,The UPS Store,55105,00554101-984b-45b3-bd61-cd0f7bac8e01,http://www.theupsstore.com,1043 Grand Ave,The UPS Store,us
Edgewater,-105.053618,39.750376,(720) 998-0826,"Businesses and Services, Shipping, Freight, and Material Transportation",CO,The UPS Store,80214,8513728f-bd62-46c6-84b6-575ec266a3f2,http://www.theupsstore.com,2255 Sheridan Blvd,The UPS Store,us
Marina Del Rey,-118.458819,33.983596,(310) 827-4757,"Businesses and Services, Shipping, Freight, and Material Transportation",CA,The UPS Store,90292,0ea71347-ee41-40fb-bb15-512e583fd589,http://www.theupsstore.com,578 Washington Blvd,The UPS Store,us
Simi Valley,-118.740637,34.278041,(805) 583-2828,"Businesses and Services, Shipping, Freight, and Material Transportation",CA,The UPS Store,93065,8f78edb9-1914-41a8-a24d-dac3ec4cdc48,http://www.theupsstore.com,2828 Cochran St,The UPS Store,us
San Francisco,-122.393813,37.79144,(415) 495-6963,"Businesses and Services, Shipping, Freight, and Material Transportation",CA,The UPS Store,94105,f71361db-b8f4-4bac-977e-fbdcb1c90213,http://www.theupsstore.com,182 Howard St,The UPS Store,us
Great Neck,-73.727703,40.788198,(516) 466-1770,"Businesses and Services, Shipping, Freight, and Material Transportation",NY,The UPS Store,11021,ac31866f-0571-4866-a606-ec12060ca076,http://www.theupsstore.com,10 Bond St,The UPS Store,us
Wellesley Hills,-71.278834,42.307911,(781) 237-7744,"Businesses and Services, Shipping, Freight, and Material Transportation",MA,The UPS Store,2481,1964e053-664f-4ad0-a01a-b07eba651ae3,http://www.theupsstore.com,396 Washington St,The UPS Store,us
Marina Del Rey,-118.438306,33.979251,(310) 827-9002,"Businesses and Services, Shipping, Freight, and Material Transportation",CA,The UPS Store,90292,6b716f78-47c9-4c2c-a08b-2bfe7e769fe0,http://www.theupsstore.com,4712 Admiralty Way,The UPS Store,us
Doral,-80.354716,25.813141,(305) 594-1190,"Businesses and Services, Shipping, Freight, and Material Transportation",FL,The UPS Store,33178,49030f42-a816-44fb-b1f2-a7a7fafe3951,http://www.theupsstore.com,9737 NW 41st St,The UPS Store,us
San Francisco,-122.401721,37.791186,(415) 765-1515,"Businesses and Services, Shipping, Freight, and Material Transportation",CA,The UPS Store,94104,69bb7a1f-a02e-49e8-84d6-eec842e21884,http://www.theupsstore.com,268 Bush St,The UPS Store,us
Jacksonville,-81.524986,30.284106,(904) 642-6607,"Businesses and Services, Shipping, Freight, and Material Transportation",FL,The UPS Store,32224,29e9d6f2-f91f-49b4-8e69-60729c354384,http://www.theupsstore.com,3545 St Johns Bluff Rd S,The UPS Store,us
Des Plaines,-87.893902,42.032061,(847) 296-6800,"Businesses and Services, Shipping, Freight, and Material Transportation",IL,The UPS Store,60016,370f1366-5207-48ab-aa24-19a17dd204c1,http://www.theupsstore.com,1153 Lee St,The UPS Store,us
Cincinnati,-84.512897,39.10025,(513) 929-0090,"Businesses and Services, Shipping, Freight, and Material Transportation",OH,The UPS Store,45202,60f2e7a2-f55c-439f-b932-b0d6b39fe9d6,http://www.theupsstore.com,407 Vine St,The UPS Store,us
Indianapolis,-86.045563,39.888887,(317) 595-0005,"Businesses and Services, Shipping, Freight, and Material Transportation",IN,The UPS Store,46250,6d614b07-b45d-4f1b-a92e-108de38fdb59,http://www.theupsstore.com,7399 N Shadeland Ave,The UPS Store,us
Marietta,-84.519573,33.945512,(770) 792-4460,"Businesses and Services, Shipping, Freight, and Material Transportation",GA,The UPS Store,30060,8605353b-5085-44b9-b6cb-0bbd2473faab,http://www.theupsstore.com,270 Cobb Pkwy S,The UPS Store,us
Mount Prospect,-87.935211,42.063459,(847) 788-9001,"Businesses and Services, Shipping, Freight, and Material Transportation",IL,The UPS Store,60056,00342a49-e6ed-493b-9de6-7b88fb48b6ff,http://www.theupsstore.com,119 S Emerson St,The UPS Store,us
Marina,-121.794851,36.684675,(831) 384-9516,"Businesses and Services, Shipping, Freight, and Material Transportation",CA,The UPS Store,93933,1286d8ed-2772-4cc3-b597-5eaba862c37d,http://www.theupsstore.com,266 Reservation Rd,The UPS Store,us
Powell,-83.092527,40.161012,(614) 792-7860,"Businesses and Services, Shipping, Freight, and Material Transportation",OH,The UPS Store,43065,68a3fc1e-a274-485a-8c3a-ec940d65460a,http://www.theupsstore.com,3982 Powell Rd,The UPS Store,us
Fort Washington,-76.992557,38.725193,(301) 203-9120,"Businesses and Services, Shipping, Freight, and Material Transportation",MD,The UPS Store,20744,8dcd5e93-71cb-439f-8ec7-758005a7de19,http://www.theupsstore.com,938 E Swan Creek Rd,The UPS Store,us
Indianapolis,-86.306708,39.765469,(317) 273-1906,"Businesses and Services, Shipping, Freight, and Material Transportation",IN,The UPS Store,46214,ee041379-10a8-4c0b-9acb-2a3ef0424b11,http://www.theupsstore.com,8206 Rockville Rd,The UPS Store,us
Oak Park,-87.802839,41.889331,(708) 358-1445,"Businesses and Services, Shipping, Freight, and Material Transportation",IL,The UPS Store,60301,65fb0cee-2711-40ff-b992-f590a49ac83f,http://www.theupsstore.com,159 N Marion St,The UPS Store,us
Las Vegas,-115.054381,36.101071,(702) 547-4356,"Businesses and Services, Shipping, Freight, and Material Transportation",NV,The UPS Store,89122,904aa131-859f-43bd-ba3f-81a4e2ba449d,http://www.theupsstore.com,5516 Boulder Hwy,The UPS Store,us
